MENSAGEM	Translation	Positive	Negative	EmotionRationale
ach linkedin slidesh	ach linkedin slidesh	1	-1	 ach[0] linkedin[0] slidesh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ach	ach	1	-1	 ach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vam	vam	1	-1	 vam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
viu imag	viu imag	1	-1	 viu[0] imag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
concord	concord	1	-1	 concord[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
concord	concord	1	-1	 concord[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entend	entend	1	-1	 entend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ja respond	ja respond	1	-1	 ja[0] respond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tbm nao deu boa	tbm nao deu boa	2	-1	 tbm[0] nao[0] deu[0] boa[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
auxil entrev	auxil entrev	1	-1	 auxil[0] entrev[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sobr exam registr nao ach nad	sobr exam registr nao ach nad	1	-1	 sobr[0] exam[0] registr[0] nao[0] ach[0] nad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aparec alg sobr enferm	aparec alg sobr enferm	1	-1	 aparec[0] alg[0] sobr[0] enferm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4min repond ai tim	4min repond ai tim	1	-2	 4min[0] repond[0] ai[-1] tim[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
c deu bug agor kkk	c deu bug agor k	2	-2	 c[0] deu[0] bug[-1] agor[0] kkk/k[0][+0.6 MultipleLetters] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
vc acah qu	vc acah qu	1	-1	 vc[0] acah[0] qu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ja respond	ja respond	1	-1	 ja[0] respond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pra respond	pra respond	1	-1	 pra[0] respond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c dão exempl doenç est relacion outr	c dão exempl doenç est relacion outr	1	-1	 c[0] dão[0] exempl[0] doenç[0] est[0] relacion[0] outr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ent car iss to ach mto estranh	ent car iss to ach mto estranh	1	-1	 ent[0] car[0] iss[0] to[0] ach[0] mto[0] estranh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
msm pesquis nao nad muit relacion altern	msm pesquis nao nad muit relacion altern	1	-1	 msm[0] pesquis[0] nao[0] nad[0] muit[0] relacion[0] altern[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sim	sim	1	-1	 sim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tir c	tir c	1	-1	 tir[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sim	sim	1	-1	 sim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b d	b d	1	-1	 b[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fech	fech	1	-1	 fech[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
melhor acert parc err tud	melhor acert parc er tud	2	-1	 melhor[1] acert[0] parc[0] err/er[0] tud[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mal ae tim	mal ae tim	1	-3	 mal[-2] ae[0] tim[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
confund nó	confund nó	1	-1	 confund[0] nó[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
respond	respond	1	-1	 respond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vai renan	vai renan	1	-1	 vai[0] renan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
respond vad	respond vad	1	-1	 respond[0] vad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
viad	viad	1	-1	 viad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vc	vc	1	-1	 vc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
respond	respond	1	-1	 respond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d nov	d nov	1	-1	 d[0] nov[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
respond	respond	1	-1	 respond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tbm	tbm	1	-1	 tbm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boxt	boxt	1	-1	 boxt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aee	aee	1	-1	 aee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nic	nic	1	-1	 nic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fal	fal	1	-1	 fal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aaaaaaeee	aee	2	-1	 aaaaaaeee/aee[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pqp	pqp	1	-1	 pqp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
legal	legal	1	-1	 legal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
agor aquel excel	agor aquel excel	1	-1	 agor[0] aquel[0] excel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
modal	modal	1	-1	 modal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
modal n	modal n	1	-1	 modal[0] n[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
esuc	esuc	1	-1	 esuc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to viaj	to viaj	1	-1	 to[0] viaj[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ta cert	ta cert	1	-1	 ta[0] cert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
respond	respond	1	-1	 respond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sim	sim	1	-1	 sim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fech	fech	1	-1	 fech[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o/	o/	1	-1	 o/[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fals	fals	1	-1	 fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opa	opa	1	-1	 opa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
verdad fals	verdad fals	1	-1	 verdad[0] fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
concord fals	concord fals	1	-1	 concord[0] fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b fals	b fals	1	-1	 b[0] fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ach eh verd car	ach eh verd car	1	-1	 ach[0] eh[0] verd[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deix pra dpoil	deix pra dpoil	1	-1	 deix[0] pra[0] dpoil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c nao ta cert ne	c nao ta cert ne	1	-1	 c[0] nao[0] ta[0] cert[0] ne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c fals	c fals	1	-1	 c[0] fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fals ne	fals ne	1	-1	 fals[0] ne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suspeit	suspeit	1	-1	 suspeit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c fals	c fals	1	-1	 c[0] fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
prim part livr mand noss e-mail	prim part livr mand noss e-mail	1	-1	 prim[0] part[0] livr[0] mand[0] noss[0] e[0] mail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tenh aqu cadern parâmetr estim estatís med numér	tenh aqu cadern parâmetr estim estatís med numér	1	-1	 tenh[0] aqu[0] cadern[0] parâmetr[0] estim[0] estatís[0] med[0] numér[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
diz    estatis med numer descrev caracteris amostr ''	diz    estatis med numer descrev caracteris amostr ''	1	-1	 diz[0] estatis[0] med[0] numer[0] descrev[0] caracteris[0] amostr[0] ''[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao popul	nao popul	1	-1	 nao[0] popul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmmm	hm	2	-1	 hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
verdad	verdad	1	-1	 verdad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fals	fals	1	-1	 fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d corret	d corret	1	-1	 d[0] corret[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b ach q tamb	b ach q tamb	1	-1	 b[0] ach[0] q[0] tamb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
algu ai ta lag	algu ai ta lag	1	-2	 algu[0] ai[-1] ta[0] lag[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fp ta baix	fp ta baix	1	-1	 fp[0] ta[0] baix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aqu est	aqu est	1	-1	 aqu[0] est[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d ok	d ok	1	-1	 d[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
digit muit rapi	digit muit rapi	1	-1	 digit[0] muit[0] rapi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
letr b rodrig fal ach eh fals	letr b rodrig fal ach eh fals	1	-1	 letr[0] b[0] rodrig[0] fal[0] ach[0] eh[0] fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
algum letr sa	algum letr sa	1	-1	 algum[0] letr[0] sa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ach b c cert	ach b c cert	1	-1	 ach[0] b[0] c[0] cert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b d**	b d*	1	-1	 b[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b fal iss pq to pens amostr popul	b fal iss pq to pens amostr popul	1	-1	 b[0] fal[0] iss[0] pq[0] to[0] pens[0] amostr[0] popul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ness est total confus	ness est total confus	1	-3	 ness[0] est[0] total[0] confus[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nun vam respond questinari amanh	nun vam respond questinari amanh	1	-1	 nun[0] vam[0] respond[0] questinari[0] amanh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pra ser aul fusã	pra ser aul fusã	1	-1	 pra[0] ser[0] aul[0] fusã[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
... .. esquec compr esquadr d nov	.<br> .<br> esquec compr esquadr d nov	1	-1	 esquec[0] compr[0] esquadr[0] d[0] nov[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hauhauhuahuahuah	hauhauhuahuahuah	1	-1	 hauhauhuahuahuah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rodrigueee emprest regu	rodriguee emprest regu	1	-1	 rodrigueee/rodriguee[0] emprest[0] regu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kkk	k	2	-1	 kkk/k[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
esquadr	esquadr	1	-1	 esquadr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fech	fech	1	-1	 fech[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b tá corret noé	b tá corret noé	1	-1	 b[0] tá[0] corret[0] noé[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
qu ach b ta cert	qu ach b ta cert	1	-1	 qu[0] ach[0] b[0] ta[0] cert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vam paintball	vam paintball	1	-1	 vam[0] paintball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ach si	ach si	1	-1	 ach[0] si[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
im	im	1	-1	 im[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sim	sim	1	-1	 sim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ach sim	ach sim	1	-1	 ach[0] sim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
coloq b d	coloq b d	1	-1	 coloq[0] b[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mesm sej realiz popul tod pod serv pra ter estim	mesm sej realiz popul tod pod serv pra ter estim	1	-1	 mesm[0] sej[0] realiz[0] popul[0] tod[0] pod[0] serv[0] pra[0] ter[0] estim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
uhu	uhu	1	-1	 uhu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vai segur	vai segur	1	-1	 vai[0] segur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grup ess	grup ess	1	-1	 grup[0] ess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kxor	kxor	1	-1	 kxor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aqu nao col	aqu nao col	1	-1	 aqu[0] nao[0] col[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fals	fals	1	-1	 fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b verd	b verd	1	-1	 b[0] verd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fals	fals	1	-1	 fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
be	be	1	-1	 be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
   d '' fals	   d '' fals	1	-1	 d[0] ''[0] fals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ach verd	ach verd	1	-1	 ach[0] verd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao	nao	1	-1	 nao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pes preç	pes preç	1	-1	 pes[0] preç[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kkk	k	2	-1	 kkk/k[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hmm	hm	1	-1	 hmm/hm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ness imag nun mand	ness imag nun mand	1	-1	 ness[0] imag[0] nun[0] mand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
exempl	exempl	1	-1	 exempl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
letr c nao fic fals tbm	letr c nao fic fals tbm	1	-1	 letr[0] c[0] nao[0] fic[0] fals[0] tbm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pq zer natur nad send represent nivel ra nao interval	pq zer natur nad send represent nivel ra nao interval	1	-1	 pq[0] zer[0] natur[0] nad[0] send[0] represent[0] nivel[0] ra[0] nao[0] interval[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nível interval mensur simil ord sab magnitud diferenç entr doi val dad possu pont inic zer natur est cas ano censit sab magnitud diferenç entr ano temp começ zer '' ''	nível interval mensur simil ord sab magnitud diferenç entr doi val dad possu pont inic zer natur est cas ano censit sab magnitud diferenç entr ano temp começ zer '' ''	1	-1	 nível[0] interval[0] mensur[0] simil[0] ord[0] sab[0] magnitud[0] diferenç[0] entr[0] doi[0] val[0] dad[0] possu[0] pont[0] inic[0] zer[0] natur[0] est[0] cas[0] ano[0] censit[0] sab[0] magnitud[0] diferenç[0] entr[0] ano[0] temp[0] começ[0] zer[0] ''[0] ''[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
humm	hum	1	-1	 humm/hum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boa	boa	2	-1	 boa[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nível interval mensur simil ord sab magnitud diferenç entr doi val dad possu pont inic zer natur est cas ano censit sab magnitud diferenç entr ano temp começ zer	nível interval mensur simil ord sab magnitud diferenç entr doi val dad possu pont inic zer natur est cas ano censit sab magnitud diferenç entr ano temp começ zer	1	-1	 nível[0] interval[0] mensur[0] simil[0] ord[0] sab[0] magnitud[0] diferenç[0] entr[0] doi[0] val[0] dad[0] possu[0] pont[0] inic[0] zer[0] natur[0] est[0] cas[0] ano[0] censit[0] sab[0] magnitud[0] diferenç[0] entr[0] ano[0] temp[0] começ[0] zer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ah bao	ah bao	1	-1	 ah[0] bao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vai mand msm cois entra	vai mand msm cois entra	1	-1	 vai[0] mand[0] msm[0] cois[0] entra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b	b	1	-1	 b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
profes coleg nun ta copi olh fei	profes coleg nun ta copi olh fei	1	-1	 profes[0] coleg[0] nun[0] ta[0] copi[0] olh[0] fei[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interess	interess	1	-1	 interess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mund intelig	mund intelig	1	-1	 mund[0] intelig[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b	b	1	-1	 b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
preç nao rodrig	preç nao rodrig	1	-1	 preç[0] nao[0] rodrig[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao ach nad relacion iss	nao ach nad relacion iss	1	-1	 nao[0] ach[0] nad[0] relacion[0] iss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
car nao preç 0,00	car nao preç 0,00	1	-1	 car[0] nao[0] preç[0] 0[0] ,00[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poss est err ach est err	poss est er ach est er	1	-1	 poss[0] est[0] err/er[0] ach[0] est[0] err/er[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao sei pesquis so fal fal	nao sei pesquis so fal fal	1	-1	 nao[0] sei[0] pesquis[0] so[0] fal[0] fal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interval pred interval val deriv estatís infer obje captur preç desconhec imóvel popul estud conceit popul defin it anteri cont natur aleatór esper dua amostr mesm merc imobili ter interval igual entretant voc repet amostr infinit vez cert percent interval constru irã cont preç desej bem popul percent dest interval pred contém preç imóvel conhec nível confianç interval	interval pred interval val deriv estatís infer obje captur preç desconhec imóvel popul estud conceit popul defin it anteri cont natur aleatór esper dua amostr mesm merc imobili ter interval igual entretant voc repet amostr infinit vez cert percent interval constru irã cont preç desej bem popul percent dest interval pred contém preç imóvel conhec nível confianç interval	2	-2	 interval[0] pred[0] interval[0] val[0] deriv[0] estatís[0] infer[0] obje[0] captur[0] preç[0] desconhec[0] imóvel[-1] popul[0] estud[0] conceit[0] popul[0] defin[0] it[0] anteri[0] cont[0] natur[0] aleatór[0] esper[0] dua[0] amostr[0] mesm[0] merc[0] imobili[0] ter[0] interval[0] igual[0] entretant[0] voc[0] repet[0] amostr[0] infinit[0] vez[0] cert[0] percent[0] interval[0] constru[0] irã[0] cont[0] preç[0] desej[0] bem[1] popul[0] percent[0] dest[0] interval[0] pred[0] contém[0] preç[0] imóvel[-1] conhec[0] nível[0] confianç[0] interval[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ach	ach	1	-1	 ach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fal sobr interval sobr ra	fal sobr interval sobr ra	1	-1	 fal[0] sobr[0] interval[0] sobr[0] ra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
iss ia pergunt	iss ia pergunt	1	-1	 iss[0] ia[0] pergunt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mim ta err poss est engan decid vou	mim ta er poss est engan decid vou	1	-1	 mim[0] ta[0] err/er[0] poss[0] est[0] engan[0] decid[0] vou[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ctrl f ness sit proc    preç ''	ctrl f ness sit proc    preç ''	1	-1	 ctrl[0] f[0] ness[0] sit[0] proc[0] preç[0] ''[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unic sit ach relac preç á ra	unic sit ach relac preç á ra	1	-1	 unic[0] sit[0] ach[0] relac[0] preç[0] á[0] ra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sim	sim	1	-1	 sim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
