MENSAGEM	Translation	Positive	Negative	EmotionRationale
o o entender	o o entender	1	-1	 o[0] o[0] entender[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ja responder	ja responder	1	-1	 ja[0] responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o tbm nao	o tbm nao	1	-1	 o[0] tbm[0] nao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
auxiliar entrevisto	auxiliar entrevisto	1	-1	 auxiliar[0] entrevisto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sobrar exame registro nao achar nado	sobrar exame registro nao achar nado	1	-1	 sobrar[0] exame[0] registro[0] nao[0] achar[0] nado[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aparecer sobrar enfermagem	aparecer sobrar enfermagem	1	-1	 aparecer[0] sobrar[0] enfermagem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4min repor ai time	4min repor ai time	1	-2	 4min[0] repor[0] ai[-1] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
o c umar bugada kkk	o c umar bugada k	2	-1	 o[0] c[0] umar[0] bugada[0] kkk/k[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
o vcs acaham qu	o vcs acaham qu	1	-1	 o[0] vcs[0] acaham[0] qu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ja responder	ja responder	1	-1	 ja[0] responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o pra responder	o pra responder	1	-1	 o[0] pra[0] responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o c o umar doença relacionar outro	o c o umar doença relacionar outro	1	-2	 o[0] c[0] o[0] umar[0] doença[-1] relacionar[0] outro[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
caro to achar mto estranhar	caro to achar mto estranhar	1	-2	 caro[-1] to[0] achar[0] mto[0] estranhar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
msm pesquisar nao nado relacionar o alternativo	msm pesquisar nao nado relacionar o alternativo	1	-1	 msm[0] pesquisar[0] nao[0] nado[0] relacionar[0] o[0] alternativo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tirar o c	tirar o c	1	-1	 tirar[0] o[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b e d	b e d	1	-1	 b[0] e[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fechar	fechar	1	-1	 fechar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
melhor acertar parcialmente errar	melhor acertar parcialmente errar	2	-2	 melhor[1] acertar[0] parcialmente[0] errar[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ae time	ae time	1	-1	 ae[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
confundir nó	confundir nó	1	-2	 confundir[-1] nó[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
responder	responder	1	-1	 responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
renan	renan	1	-1	 renan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder vado	responder vado	1	-1	 responder[0] vado[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
viad	viad	1	-1	 viad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o	o	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vcs	vcs	1	-1	 vcs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder	responder	1	-1	 responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d	d	1	-1	 d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder	responder	1	-1	 responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tbm	tbm	1	-1	 tbm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boxta	boxta	1	-1	 boxta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aeee	aee	1	-1	 aeee/aee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nice	nice	1	-1	 nice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
falar	falar	1	-1	 falar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aaaaaaeeee	aee	2	-1	 aaaaaaeeee/aee[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pqp	pqp	1	-1	 pqp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
legal	legal	1	-1	 legal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
excel	excel	1	-1	 excel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o   e e	o   e e	1	-1	 o[0] e[0] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
modal	modal	1	-1	 modal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nosa	nosa	1	-1	 nosa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
modal n	modal n	1	-1	 modal[0] n[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
esuce	esuce	1	-1	 esuce[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to viajendo	to viajendo	1	-1	 to[0] viajendo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ta certar	ta certar	1	-1	 ta[0] certar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder	responder	1	-1	 responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fechar	fechar	1	-1	 fechar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o e e	o e e	1	-1	 o[0] e[0] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o/	o/	1	-1	 o/[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o falso	o falso	1	-2	 o[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
opar	opar	1	-1	 opar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
verdade falso	verdade falso	2	-2	 verdade[1] falso[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
concordar falso	concordar falso	1	-2	 concordar[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
b falso	b falso	1	-2	 b[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
achar eh verdadeiro caro	achar eh verdadeiro caro	2	-2	 achar[0] eh[0] verdadeiro[1] caro[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
deixar pra dpois	deixar pra dpois	1	-1	 deixar[0] pra[0] dpois[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o c nao ta certo ne	o c nao ta certo ne	1	-1	 o[0] c[0] nao[0] ta[0] certo[0] ne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c falso	c falso	1	-2	 c[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
e falso ne	e falso ne	1	-2	 e[0] falso[-1] ne[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suspeitar	suspeitar	1	-1	 suspeitar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o c falso	o c falso	1	-2	 o[0] c[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
livrar mandar o e-mail	livrar mandar o e-mail	1	-2	 livrar[-1] mandar[0] o[0] e[0] mail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
o caderno parâmetro estimativo e estatístico umar medir numérico	o caderno parâmetro estimativo e estatístico umar medir numérico	1	-1	 o[0] caderno[0] parâmetro[0] estimativo[0] e[0] estatístico[0] umar[0] medir[0] numérico[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
estatistica umar medir numerica descrever umar caracteristica umar amostrar	estatistica umar medir numerica descrever umar caracteristica umar amostrar	1	-1	 estatistica[0] umar[0] medir[0] numerica[0] descrever[0] umar[0] caracteristica[0] umar[0] amostrar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
e nao umar população	e nao umar população	1	-1	 e[0] nao[0] umar[0] população[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmmm	hm	2	-1	 hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
verdade	verdade	2	-1	 verdade[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
e falso	e falso	1	-2	 e[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
d corretar	d corretar	1	-1	 d[0] corretar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b achar q tambem	b achar q tambem	1	-1	 b[0] achar[0] q[0] tambem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alguem ai ta lagado	alguem ai ta lagado	1	-2	 alguem[0] ai[-1] ta[0] lagado[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fps ta baixar	fps ta baixar	1	-2	 fps[0] ta[0] baixar[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
d ok	d ok	1	-1	 d[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
digitar rapio	digitar rapio	1	-1	 digitar[0] rapio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
letra b o rodrigar falar achar eh falso	letra b o rodrigar falar achar eh falso	1	-2	 letra[0] b[0] o[0] rodrigar[0] falar[0] achar[0] eh[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
algum letra o o sair	algum letra o o sair	1	-1	 algum[0] letra[0] o[0] o[0] sair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar b e c certo	achar b e c certo	1	-1	 achar[0] b[0] e[0] c[0] certo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b e d	b e d	1	-1	 b[0] e[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o b falar pq to pensar amostrar e população	o b falar pq to pensar amostrar e população	1	-1	 o[0] b[0] falar[0] pq[0] to[0] pensar[0] amostrar[0] e[0] população[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
n totalmente confuso	n totalmente confuso	1	-1	 n[0] totalmente[0] confuso[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nunes responder o questinario amanhar	nunes responder o questinario amanhar	1	-1	 nunes[0] responder[0] o[0] questinario[0] amanhar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pra o aula fusão	pra o aula fusão	1	-1	 pra[0] o[0] aula[0] fusão[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o ..... esquecer comprar esquadrar d	o .<br> esquecer comprar esquadrar d	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]] esquecer[0] comprar[0] esquadrar[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hauhauhuahuahuaha	hauhauhuahuahuaha	1	-1	 hauhauhuahuahuaha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rodrigueeees emprestar o regua	rodriguees emprestar o regua	2	-1	 rodrigueeees/rodriguees[0][+0.6 MultipleLetters] emprestar[0] o[0] regua[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kkk	k	2	-1	 kkk/k[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
o esquadrar	o esquadrar	1	-1	 o[0] esquadrar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fechar	fechar	1	-1	 fechar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o b tá corretar noé	o b tá corretar noé	1	-1	 o[0] b[0] tá[0] corretar[0] noé[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar o b ta certo	achar o b ta certo	1	-1	 achar[0] o[0] b[0] ta[0] certo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o paintball	o paintball	1	-1	 o[0] paintball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar si	achar si	1	-1	 achar[0] si[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
im	im	1	-1	 im[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar	achar	1	-1	 achar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
colocar b e d	colocar b e d	1	-1	 colocar[0] b[0] e[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
realizar o população servir pra umar estimativo	realizar o população servir pra umar estimativo	1	-1	 realizar[0] o[0] população[0] servir[0] pra[0] umar[0] estimativo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
uhu	uhu	1	-1	 uhu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
segurar	segurar	1	-1	 segurar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grupar	grupar	1	-1	 grupar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kxorada	kxorada	1	-1	 kxorada[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao colar	nao colar	1	-1	 nao[0] colar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o falso	o falso	1	-2	 o[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
b verdadeiro	b verdadeiro	2	-1	 b[0] verdadeiro[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
e falso	e falso	1	-2	 e[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
be	be	1	-1	 be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o d falso	o d falso	1	-2	 o[0] d[0] falso[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
b e c	b e c	1	-1	 b[0] e[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b e c	b e c	1	-1	 b[0] e[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o e achar verdadeiro	o e achar verdadeiro	2	-1	 o[0] e[0] achar[0] verdadeiro[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nao	nao	1	-1	 nao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pesar preço	pesar preço	1	-2	 pesar[-1] preço[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kkk	k	2	-1	 kkk/k[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hmm	hm	1	-1	 hmm/hm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
n imagem o nunes mandar	n imagem o nunes mandar	1	-1	 n[0] imagem[0] o[0] nunes[0] mandar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o letra c nao ficar falso tbm	o letra c nao ficar falso tbm	1	-2	 o[0] letra[0] c[0] nao[0] ficar[0] falso[-1] tbm[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pq o natural o nado representar o nivel razão e nao intervalar	pq o natural o nado representar o nivel razão e nao intervalar	1	-1	 pq[0] o[0] natural[0] o[0] nado[0] representar[0] o[0] nivel[0] razão[0] e[0] nao[0] intervalar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o intervalar mensuração similar o o ordinal o magnitude diferençar entrar valorar o possuir pontar inicial natural o casar ano censitário e o magnitude diferençar entrar o ano o começar	o intervalar mensuração similar o o ordinal o magnitude diferençar entrar valorar o possuir pontar inicial natural o casar ano censitário e o magnitude diferençar entrar o ano o começar	1	-1	 o[0] intervalar[0] mensuração[0] similar[0] o[0] o[0] ordinal[0] o[0] magnitude[0] diferençar[0] entrar[0] valorar[0] o[0] possuir[0] pontar[0] inicial[0] natural[0] o[0] casar[0] ano[0] censitário[0] e[0] o[0] magnitude[0] diferençar[0] entrar[0] o[0] ano[0] o[0] começar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
humm	hum	1	-1	 humm/hum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o intervalar mensuração similar o o ordinal o magnitude diferençar entrar valorar o possuir pontar inicial natural o casar ano censitário e o magnitude diferençar entrar o ano o começar	o intervalar mensuração similar o o ordinal o magnitude diferençar entrar valorar o possuir pontar inicial natural o casar ano censitário e o magnitude diferençar entrar o ano o começar	1	-1	 o[0] intervalar[0] mensuração[0] similar[0] o[0] o[0] ordinal[0] o[0] magnitude[0] diferençar[0] entrar[0] valorar[0] o[0] possuir[0] pontar[0] inicial[0] natural[0] o[0] casar[0] ano[0] censitário[0] e[0] o[0] magnitude[0] diferençar[0] entrar[0] o[0] ano[0] o[0] começar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ah bao	ah bao	1	-1	 ah[0] bao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mandar o msm entrao	mandar o msm entrao	1	-1	 mandar[0] o[0] msm[0] entrao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o b	o b	1	-1	 o[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
professorar o colega nunes ta copiar olhar feio	professorar o colega nunes ta copiar olhar feio	1	-1	 professorar[0] o[0] colega[0] nunes[0] ta[0] copiar[0] olhar[0] feio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o e interessante	o e interessante	1	-1	 o[0] e[0] interessante[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o mundo inteligente	o mundo inteligente	1	-1	 o[0] mundo[0] inteligente[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b	b	1	-1	 b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
preço nao rodrigar	preço nao rodrigar	1	-1	 preço[0] nao[0] rodrigar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao achar nado relacionar o	nao achar nado relacionar o	1	-1	 nao[0] achar[0] nado[0] relacionar[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caro nao o preço 0,00	caro nao o preço 0,00	1	-2	 caro[-1] nao[0] o[0] preço[0] 0[0] ,00[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
errar achar errar	errar achar errar	1	-2	 errar[-1] achar[0] errar[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nao pesquisar so falar falar	nao pesquisar so falar falar	1	-1	 nao[0] pesquisar[0] so[0] falar[0] falar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o intervalar predição intervalar valorar derivar estatístico inferencial comer objetivo capturar o preço desconhecer imóvel o população estudar o conceito população definir o item anterior contar suar natureza aleatório esperar amostrar mercar imobiliário intervalo igual entretanto repetir o amostragem infinito vezar certar percentual intervalo construir conter o preço desejar o população o percentual d intervalar predição conter o preço imóvel conhecer comer confiança intervalar	o intervalar predição intervalar valorar derivar estatístico inferencial comer objetivo capturar o preço desconhecer imóvel o população estudar o conceito população definir o item anterior contar suar natureza aleatório esperar amostrar mercar imobiliário intervalo igual entretanto repetir o amostragem infinito vezar certar percentual intervalo construir conter o preço desejar o população o percentual d intervalar predição conter o preço imóvel conhecer comer confiança intervalar	2	-2	 o[0] intervalar[0] predição[0] intervalar[0] valorar[0] derivar[0] estatístico[0] inferencial[0] comer[0] objetivo[0] capturar[0] o[0] preço[0] desconhecer[0] imóvel[-1] o[0] população[0] estudar[0] o[0] conceito[0] população[0] definir[0] o[0] item[0] anterior[0] contar[0] suar[0] natureza[0] aleatório[0] esperar[0] amostrar[0] mercar[0] imobiliário[0] intervalo[0] igual[0] entretanto[0] repetir[0] o[0] amostragem[0] infinito[0] vezar[0] certar[0] percentual[0] intervalo[0] construir[0] conter[0] o[0] preço[0] desejar[0] o[0] população[0] o[0] percentual[0] d[0] intervalar[0] predição[0] conter[0] o[0] preço[0] imóvel[-1] conhecer[0] comer[0] confiança[1] intervalar[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
o achar	o achar	1	-1	 o[0] achar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
falir sobrar intervalar e sobrar razão	falir sobrar intervalar e sobrar razão	1	-1	 falir[0] sobrar[0] intervalar[0] e[0] sobrar[0] razão[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perguntar	perguntar	1	-1	 perguntar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mim ta errar enganar o decidir	mim ta errar enganar o decidir	1	-2	 mim[0] ta[0] errar[-1] enganar[-1] o[0] decidir[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ctrl f n site e procurar preço	ctrl f n site e procurar preço	1	-1	 ctrl[0] f[0] n[0] site[0] e[0] procurar[0] preço[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
